month,year,daily_temp,daily_rain,daily_hum,daily_press,daily_windDir,daily_windSp,daily_DHI,daily_DNI,daily_GHI
1,2021,6.2,16.2,78.4,986.8,79.7,2.1,88.4,0.0,88.4
7,2020,22.7,29.3,60.6,991.5,275.6,5.2,293.7,83.6,356.9
4,2020,14.3,13.2,53.2,998.4,171.2,2.8,153.5,476.6,468.7
6,2021,28.6,31.2,40.1,989.8,165.1,2.3,269.4,204.2,420.7
9,2020,24.7,24.4,59.5,992.8,309.2,2.8,121.8,504.0,426.5
7,2020,25.8,22.8,39.9,989.5,296.9,3.2,111.8,621.7,536.5
6,2020,27.1,19.4,35.9,992.5,168.1,3.3,102.2,661.7,559.2
12,2020,13.9,17.7,74.7,998.6,78.4,1.4,131.3,55.0,145.9
8,2021,32.5,28.0,30.6,993.0,279.5,2.3,219.1,227.3,387.9
12,2019,14.0,13.7,83.0,991.7,202.9,4.9,137.9,40.1,151.7
3,2021,16.2,16.4,55.7,999.7,214.9,1.9,90.8,659.3,474.7
9,2020,26.8,29.5,49.3,995.1,66.1,2.1,220.1,205.3,336.5
9,2021,26.4,36.7,56.0,992.1,184.4,2.3,182.3,51.8,215.1
11,2019,13.7,12.3,71.9,994.8,287.4,4.1,113.4,350.6,220.6
8,2020,29.7,26.7,36.1,991.7,198.5,2.5,108.3,556.4,479.5
2,2020,13.8,7.4,74.7,998.8,226.2,4.2,60.0,677.6,373.4
2,2021,13.0,11.8,69.5,999.9,64.8,2.3,159.0,341.0,327.2
7,2020,25.7,23.4,51.8,986.9,254.7,3.7,84.0,698.3,554.1
2,2020,13.3,21.1,83.5,1002.0,231.3,7.2,149.3,13.9,151.7
4,2020,16.5,24.9,77.5,985.5,184.0,1.1,250.8,14.2,258.6
10,2020,18.8,19.0,64.4,984.8,203.3,6.2,167.0,336.2,340.8
1,2020,10.2,11.9,76.0,1002.3,205.6,3.2,52.4,552.4,249.6
4,2020,15.8,10.5,47.8,999.7,218.7,2.1,117.0,616.2,507.7
9,2020,18.6,20.8,66.9,993.7,269.2,3.8,128.9,431.1,365.2
6,2020,26.8,31.1,51.0,990.1,289.1,3.0,104.7,637.7,543.8
2,2021,13.9,11.9,75.6,991.2,194.5,4.8,81.2,491.5,291.2
7,2020,27.1,25.4,42.1,991.2,304.9,3.0,111.9,566.5,523.5
10,2019,20.3,14.4,48.2,992.8,190.0,2.4,75.2,651.8,401.1
3,2021,10.5,12.8,73.8,991.7,296.2,8.6,123.5,156.0,185.7
9,2021,24.6,26.9,56.7,992.8,302.6,3.4,97.8,626.5,483.5
10,2020,19.6,28.3,66.5,992.6,278.2,7.1,170.8,131.4,224.2
5,2020,21.7,18.6,46.5,992.8,34.4,3.7,100.8,614.3,535.1
3,2021,13.7,16.8,75.9,994.2,89.7,1.5,209.0,187.4,309.0
1,2020,12.8,15.3,75.3,999.3,103.9,2.0,121.3,207.7,206.1
9,2020,23.7,36.3,67.9,990.6,154.0,2.0,192.2,31.2,212.8
2,2020,10.0,4.5,42.6,1001.3,213.2,1.4,44.1,737.5,340.8
3,2020,13.3,14.1,67.8,995.2,66.7,1.7,159.2,185.7,253.2
9,2019,22.8,27.8,68.6,991.0,260.2,5.4,193.5,236.3,308.0
3,2021,9.5,11.8,72.4,988.3,88.1,2.5,165.3,13.8,169.7
2,2021,15.4,19.1,68.1,998.0,135.7,2.3,157.1,0.0,157.1
1,2021,7.7,9.6,76.1,983.6,244.3,4.4,106.1,155.7,148.7
3,2021,12.0,8.9,64.9,989.8,330.5,4.9,132.6,462.8,376.3
12,2021,10.9,10.7,66.8,1003.4,78.5,2.1,39.9,616.6,240.9
10,2021,16.7,37.8,88.4,985.6,141.8,2.6,65.0,29.6,71.1
1,2021,11.1,17.2,78.5,982.5,266.4,6.8,120.3,17.2,125.5
8,2020,22.2,30.1,68.2,986.5,308.6,3.9,209.1,155.3,303.1
10,2019,18.0,25.3,76.9,988.6,272.4,3.0,168.5,78.4,209.3
6,2021,23.8,23.3,47.9,991.7,307.1,2.9,113.9,632.7,549.1
4,2021,11.1,6.7,57.2,995.5,276.2,7.6,122.9,570.8,516.8
10,2020,17.8,19.1,63.8,988.6,284.6,3.5,197.2,184.4,274.1
6,2020,21.5,16.7,45.5,986.7,255.1,2.2,97.6,669.4,559.7
3,2021,7.0,7.8,60.2,985.3,53.8,5.3,233.6,175.1,322.6
6,2021,24.2,25.9,56.6,994.5,314.8,3.6,139.0,520.7,523.5
11,2021,14.9,19.3,70.1,986.8,157.7,3.2,131.0,189.7,199.7
6,2020,20.9,22.2,61.9,986.8,271.5,4.8,146.0,547.5,519.7
11,2021,15.4,22.1,74.8,988.4,47.5,4.0,145.5,130.9,194.2
10,2021,19.2,25.5,65.7,994.4,71.6,5.7,161.7,5.3,163.5
2,2020,12.9,11.8,76.1,1006.0,224.5,3.8,135.4,358.5,307.5
11,2019,14.2,19.2,71.5,980.2,107.9,1.9,130.6,202.0,218.5
9,2020,25.1,26.6,57.5,990.7,226.5,4.1,163.2,374.8,380.4
9,2021,27.5,33.2,41.8,992.3,249.5,1.3,203.2,25.3,222.8
9,2019,25.0,29.9,55.5,992.8,55.2,4.0,190.2,323.6,386.8
7,2021,29.8,28.6,40.5,989.0,263.0,2.2,155.8,456.5,483.7
12,2019,14.7,19.6,79.6,990.3,77.4,4.8,84.0,401.2,229.7
10,2021,18.0,10.8,41.6,1002.6,236.8,2.0,60.4,637.8,357.1
9,2020,18.6,17.5,67.1,990.7,253.1,2.0,138.7,489.8,388.3
12,2021,9.6,12.7,73.9,982.8,269.2,5.7,81.2,14.8,84.6
6,2021,27.4,21.8,47.9,989.5,250.9,3.4,128.5,563.5,538.1
4,2020,16.0,12.5,50.2,1000.9,42.9,2.1,123.2,614.1,496.7
3,2020,14.3,13.5,62.5,994.8,99.2,3.0,101.7,521.8,402.2
11,2020,17.7,18.0,63.6,997.6,58.2,1.5,69.5,572.8,296.5
2,2020,12.6,11.5,68.6,1004.5,205.3,1.7,66.1,706.4,390.4
3,2021,8.9,9.0,50.9,985.5,23.4,5.0,181.5,393.8,383.6
3,2020,14.5,17.7,68.0,1001.6,155.4,1.5,173.0,0.0,173.0
9,2019,24.9,33.0,67.7,989.6,282.2,3.6,222.1,230.7,377.3
5,2021,14.8,14.8,62.1,993.5,280.7,4.5,138.4,528.9,483.9
10,2019,19.8,19.3,59.1,994.7,305.1,4.7,98.9,546.5,369.3
5,2020,20.5,19.1,61.8,987.5,194.0,4.1,107.5,579.5,518.8
4,2020,14.2,29.1,88.5,976.9,59.1,6.7,112.1,0.0,112.1
3,2020,6.8,7.5,58.3,987.5,41.1,7.3,228.1,173.5,316.2
10,2021,17.6,11.5,49.8,998.3,212.3,2.7,78.6,587.1,351.8
11,2020,16.1,17.9,66.8,1001.0,58.5,2.8,52.7,631.0,288.4
1,2021,10.3,10.9,73.9,982.1,266.2,8.7,138.2,99.3,168.0
7,2020,28.7,26.6,39.8,992.7,246.2,2.6,90.5,642.3,520.4
2,2021,16.7,12.5,56.8,989.1,115.2,1.2,126.8,267.6,255.7
8,2020,28.6,23.1,41.3,990.6,266.7,2.5,97.4,591.3,490.9
11,2020,15.6,17.8,68.9,991.0,111.1,3.0,130.4,202.7,206.3
7,2020,25.2,21.4,48.1,992.2,258.0,3.2,75.0,721.5,559.9
8,2021,31.2,25.1,37.1,994.0,203.9,2.9,116.7,515.1,470.3
11,2021,16.5,19.4,64.4,989.9,93.5,4.6,112.9,332.5,246.9
12,2019,13.4,9.9,71.4,994.9,263.6,4.4,42.3,610.0,241.4
10,2019,19.7,19.4,67.2,989.6,282.4,5.9,211.4,215.4,315.8
12,2019,14.0,18.1,81.3,990.0,131.1,2.0,115.1,166.9,173.7
2,2021,9.9,14.6,79.2,999.0,222.2,3.1,134.5,1.5,134.6
10,2021,22.4,21.6,57.2,995.0,256.7,2.4,188.2,305.2,345.2
12,2020,11.3,11.5,77.4,985.3,307.5,3.1,128.0,185.6,189.1
11,2020,14.0,12.2,78.9,995.5,271.5,2.5,147.6,157.6,194.6
6,2021,25.7,22.7,48.2,988.5,273.3,3.0,103.2,612.5,548.7
1,2020,9.7,15.7,74.1,995.2,87.8,4.0,139.3,56.9,161.5
3,2020,9.8,12.8,77.2,981.5,281.6,5.5,159.8,56.9,181.6
11,2020,17.4,18.7,71.3,999.2,239.5,1.6,171.0,57.3,184.9
10,2020,13.6,15.2,72.5,984.7,265.7,7.3,193.1,60.5,213.7
1,2020,10.7,11.8,75.0,1000.4,231.1,1.7,43.7,543.2,227.3
12,2019,13.8,19.3,78.0,997.1,193.0,3.2,98.7,342.6,214.8
10,2019,19.2,18.4,62.1,993.2,244.3,2.0,73.6,574.5,349.0
11,2021,16.0,21.3,62.8,984.7,67.5,2.1,120.6,5.2,121.3
7,2020,25.2,23.6,45.7,990.3,278.1,3.6,133.5,518.3,509.3
2,2021,11.6,10.2,73.8,990.6,278.9,7.3,104.2,499.4,314.3
11,2019,18.3,20.4,69.9,982.4,244.5,7.7,132.6,316.7,244.6
12,2019,13.3,20.7,81.0,997.3,291.8,6.0,123.2,91.9,147.3
5,2021,18.5,15.9,53.8,994.2,296.9,3.3,75.9,671.0,526.2
6,2020,21.9,23.0,51.9,991.1,249.1,2.5,126.1,610.7,539.1
10,2020,19.2,17.2,57.7,996.8,242.4,1.6,76.2,632.2,390.9
11,2020,14.0,20.2,79.9,985.4,54.2,5.1,122.9,202.0,195.0
9,2019,23.1,22.6,70.7,991.5,251.4,3.9,149.3,395.4,351.2
6,2021,20.8,22.0,62.9,993.9,267.7,5.3,238.6,334.2,469.3
12,2020,11.4,17.0,83.3,975.4,306.3,6.2,109.8,1.7,110.0
9,2021,22.8,24.7,53.8,994.7,93.1,2.8,141.9,370.1,375.9
11,2019,12.2,12.7,66.9,989.4,233.6,2.2,110.4,380.4,251.5
12,2020,11.2,14.8,79.1,973.5,244.5,6.6,107.0,28.6,113.9
6,2021,24.5,23.5,48.3,993.9,246.7,3.2,116.6,625.6,548.1
9,2020,23.1,34.5,70.9,986.5,276.2,1.8,161.8,173.3,253.9
3,2021,13.9,10.7,64.5,999.8,238.5,2.2,83.8,659.1,463.5
1,2021,10.7,16.0,84.9,974.5,288.0,9.2,107.5,0.5,107.5
11,2021,15.1,14.5,67.1,998.9,254.4,1.4,47.6,656.1,287.0
10,2019,19.7,24.4,66.0,995.2,272.9,1.6,105.6,406.6,284.6
12,2020,11.5,13.0,68.0,991.9,140.0,1.3,43.7,597.3,241.2
1,2020,11.6,14.5,74.5,998.7,190.3,2.0,97.5,315.5,200.8
1,2021,8.6,12.1,81.1,977.4,239.4,7.9,108.7,7.2,109.6
2,2021,14.3,9.0,65.9,997.5,56.9,1.2,81.2,625.8,372.2
11,2021,9.1,9.1,64.7,995.5,252.1,3.9,118.3,303.3,220.4
5,2021,21.5,24.1,55.3,991.3,252.5,2.9,132.9,538.8,523.7
10,2019,20.3,22.6,55.2,993.8,248.9,2.5,108.6,523.3,369.7
5,2020,20.3,17.8,62.3,989.0,282.9,2.3,98.2,626.1,511.5
4,2020,16.8,15.9,45.6,995.1,259.9,1.5,148.5,479.9,466.2
11,2020,17.3,18.3,70.5,996.3,231.3,1.7,136.4,297.8,260.1
4,2021,14.7,14.1,62.7,987.4,68.1,5.9,125.8,558.8,472.5
8,2020,27.4,25.4,53.9,991.4,256.8,3.8,87.5,625.9,478.1
6,2020,21.0,18.6,50.9,991.7,53.1,3.4,168.9,526.3,517.3
3,2020,13.5,19.0,79.8,984.8,228.6,7.1,134.7,7.4,135.8
10,2021,16.4,12.5,49.5,993.2,268.6,3.4,87.0,568.0,358.8
11,2019,14.0,23.9,77.6,974.1,160.6,6.3,87.2,0.0,87.2
11,2021,14.2,22.2,80.3,989.3,147.8,3.1,100.4,0.9,100.5
4,2021,14.9,19.6,76.8,989.6,72.7,3.0,235.6,66.2,277.5
4,2021,12.4,11.6,63.2,983.6,280.9,9.5,182.7,468.9,437.5
10,2021,18.6,19.9,55.3,988.1,154.4,4.3,140.2,335.7,322.5
3,2020,14.6,16.8,75.8,997.0,246.0,1.6,80.1,597.7,398.4
9,2019,23.9,30.1,69.8,991.5,172.2,2.8,194.5,280.4,363.0
11,2021,15.9,20.3,68.7,997.0,46.8,3.2,93.6,448.8,262.0
11,2019,17.6,23.6,74.9,979.1,240.5,8.6,140.0,26.6,150.2
1,2021,13.8,19.0,79.9,981.5,208.1,6.2,97.0,354.5,242.1
1,2021,10.9,16.8,88.4,983.5,222.1,1.4,89.0,49.9,106.4
10,2021,25.0,28.4,55.2,989.2,194.8,4.8,170.0,284.0,330.9
6,2020,20.8,20.1,57.9,991.3,266.1,5.5,116.5,569.8,541.4
10,2020,15.1,15.9,62.2,989.9,283.1,7.1,196.0,25.5,206.6
2,2020,11.1,6.0,55.5,995.9,336.9,8.1,55.5,669.2,321.1
1,2021,8.6,6.0,61.6,992.2,312.7,4.0,90.9,490.7,261.1
10,2019,25.3,26.4,44.2,989.0,183.0,3.5,88.8,483.5,322.8
11,2019,11.2,15.0,78.6,983.6,255.5,3.9,152.4,126.9,203.4
4,2020,17.6,22.0,49.8,987.5,101.0,1.9,250.6,36.8,270.4
3,2021,10.3,12.2,69.5,992.1,301.9,8.4,186.2,30.8,201.5
10,2019,23.2,27.6,54.4,986.2,111.4,4.1,137.8,7.3,139.9
8,2020,28.5,25.0,41.5,987.2,249.6,2.8,101.3,550.9,468.7
5,2021,20.0,26.3,49.5,986.7,213.9,6.0,99.3,586.3,515.1
11,2021,16.6,20.1,73.4,985.5,145.5,3.6,108.5,221.9,198.5
10,2019,20.8,26.5,70.4,989.7,228.0,5.9,168.5,31.8,180.3
3,2020,11.0,14.6,59.5,994.3,76.5,6.7,213.7,255.6,363.2
3,2021,9.9,12.3,74.2,989.5,248.5,4.4,190.5,107.2,220.8
9,2021,25.9,25.7,44.8,992.9,134.9,2.6,157.6,374.8,393.6
8,2020,27.3,25.4,46.7,993.1,251.4,3.3,99.9,586.3,492.8
11,2019,13.3,16.7,69.5,985.6,172.7,3.1,118.5,236.0,201.2
9,2021,24.4,38.6,62.0,988.3,93.3,1.9,163.9,31.5,188.8
12,2021,9.9,9.9,77.7,995.3,238.4,3.3,86.7,31.5,92.9
10,2020,20.6,13.3,53.7,995.2,97.5,1.7,123.2,342.3,292.2
10,2019,19.8,15.0,59.4,985.5,279.9,3.8,134.8,484.9,388.4
6,2020,21.7,18.5,54.1,994.2,289.5,5.1,80.8,709.3,566.1
9,2021,28.0,31.3,55.7,993.3,217.5,3.4,123.9,71.4,166.2
4,2020,13.7,7.0,50.0,995.3,38.3,4.4,91.2,711.9,517.0
6,2020,23.8,19.1,48.8,985.7,197.1,2.5,117.6,608.7,548.5
5,2021,15.3,10.9,49.9,995.3,193.3,2.6,90.7,590.0,504.1
8,2020,31.5,29.4,41.2,990.1,185.9,2.1,111.5,480.2,441.8
12,2019,12.8,14.1,79.4,996.2,247.4,2.9,115.2,296.8,204.0
4,2020,13.5,7.6,57.3,993.1,38.5,3.6,92.6,674.9,508.9
11,2019,12.3,19.4,75.7,983.3,157.8,5.8,137.0,20.1,144.8
3,2021,13.4,18.8,83.8,993.4,237.6,5.3,193.7,8.9,200.0
11,2021,9.4,10.0,61.8,975.8,284.5,7.7,145.1,41.8,159.4
9,2019,26.1,40.3,61.6,987.5,25.0,2.8,216.9,63.1,255.5
7,2020,26.3,25.4,49.9,990.9,212.0,3.3,99.9,650.3,543.5
9,2021,25.1,26.4,51.6,995.0,153.6,3.5,117.6,583.8,470.9
5,2020,16.5,29.7,87.7,986.1,283.1,3.3,181.7,5.5,184.3
5,2020,19.6,15.7,67.7,993.0,266.3,2.4,77.1,681.3,521.9
3,2020,13.4,11.1,67.2,993.9,82.0,3.4,118.2,549.1,399.2
12,2020,13.1,19.0,84.1,994.8,215.1,4.2,122.1,113.3,149.4
9,2020,24.6,22.3,57.2,991.9,303.3,2.3,131.3,477.5,418.6
3,2021,13.0,16.6,76.4,992.0,175.7,1.6,208.3,156.8,282.2
8,2021,24.6,30.9,60.9,988.1,219.5,2.7,241.0,132.1,331.4
3,2020,11.8,15.1,71.8,988.8,54.7,2.9,200.2,389.8,398.9
8,2021,28.8,25.5,37.2,992.3,70.8,3.1,217.9,291.1,420.1
5,2020,19.0,15.9,54.4,989.9,49.1,4.6,164.9,549.8,521.3
8,2021,27.0,24.1,46.1,994.5,275.3,2.7,105.6,544.7,456.7
12,2019,8.1,8.1,68.3,1006.2,228.4,1.9,45.5,612.0,247.4
6,2021,26.0,19.8,41.1,994.8,285.6,2.9,95.0,686.4,562.3
11,2019,12.9,18.8,80.7,975.8,192.9,3.1,152.0,96.3,183.6
8,2020,24.3,22.3,52.4,987.3,303.8,3.8,94.3,616.4,504.3
12,2019,14.9,20.1,77.3,991.1,99.6,4.0,97.7,0.0,97.7
2,2020,11.0,12.4,64.3,987.3,301.5,8.6,99.2,22.6,103.8
4,2021,15.7,9.6,51.9,995.5,40.7,3.0,72.8,684.9,504.8
5,2020,18.2,24.5,72.4,990.5,279.0,7.4,106.8,555.7,486.4
9,2020,23.6,28.2,60.2,991.5,253.5,3.1,210.0,259.4,334.2
2,2021,12.9,6.3,66.7,1003.0,250.2,1.6,136.3,396.2,342.0
11,2021,14.8,15.9,58.4,985.9,285.9,3.3,152.3,161.2,212.3
1,2020,11.9,10.2,70.6,993.8,278.9,7.2,65.5,547.2,280.7
9,2021,28.4,29.9,46.8,992.2,152.5,1.7,206.6,130.5,296.2
4,2020,17.7,32.0,80.6,986.4,95.9,1.9,125.3,0.0,125.3
3,2020,12.8,16.3,70.5,988.4,260.2,2.0,175.5,411.4,419.6
9,2019,25.4,36.0,62.5,988.2,197.8,3.4,222.8,82.2,260.6
3,2020,11.4,13.2,70.3,994.0,215.0,2.6,97.9,561.7,385.0
8,2020,28.5,24.8,40.6,985.0,252.1,2.3,93.7,603.9,472.7
8,2021,23.3,25.2,50.2,992.0,320.7,3.4,237.3,190.3,359.8
2,2020,16.0,13.6,70.7,998.3,262.9,5.5,135.4,257.4,248.9
7,2021,31.6,24.1,27.6,986.7,203.1,2.6,249.3,150.1,376.4
2,2021,12.1,18.5,74.2,992.5,202.8,2.1,119.0,291.5,249.1
